Date : 2021-02-04 16:23:15
Directory : d:\seu\schoolUniform
Total : 154 files,  7503 codes, 1480 comments, 1418 blanks, all 10401 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\entity\Tag.java                              | Java         |         19 |          0 |          8 |         27 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\mapper\AccountMapper.java                    | Java         |         11 |          0 |          3 |         14 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\mapper\AdminMapper.java                      | Java         |         11 |          0 |          2 |         13 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\mapper\FileMapper.java                       | Java         |          8 |          0 |          3 |         11 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\mapper\LocationMapper.java                   | Java         |          7 |          0 |          3 |         10 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\mapper\PriceMapper.java                      | Java         |         12 |          0 |          4 |         16 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\mapper\ProductMapper.java                    | Java         |         27 |          0 |         10 |         37 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\mapper\PurchaseMapMapper.java                | Java         |          9 |          0 |          4 |         13 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\mapper\PurchaseMapper.java                   | Java         |         21 |          0 |         10 |         31 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\mapper\SchoolMapper.java                     | Java         |         19 |          0 |          9 |         28 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\mapper\SclassMapper.java                     | Java         |         14 |          0 |          6 |         20 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\mapper\ShoppingMapper.java                   | Java         |          8 |          0 |          3 |         11 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\mapper\SolicitationMapper.java               | Java         |         12 |          0 |          3 |         15 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\mapper\SolicitemapMapper.java                | Java         |          7 |          0 |          3 |         10 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\mapper\StudentMapper.java                    | Java         |         16 |          0 |          8 |         24 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dao\mapper\TagMapper.java                        | Java         |          8 |          0 |          3 |         11 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\PageResult.java                              | Java         |         16 |          0 |          7 |         23 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\Response.java                                | Java         |         26 |          0 |          6 |         32 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\WebResponseEnum.java                         | Java         |         24 |          5 |          8 |         37 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\AddClass.java                           | Java         |         12 |          0 |          3 |         15 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\AddSolicite.java                        | Java         |         14 |          0 |          3 |         17 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\DeleteClass.java                        | Java         |         12 |          0 |          3 |         15 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\Detail.java                             | Java         |         12 |          0 |          3 |         15 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\GetCode.java                            | Java         |         11 |          0 |          3 |         14 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\LocationChange.java                     | Java         |         10 |          0 |          3 |         13 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\LocationPost.java                       | Java         |         12 |          0 |          5 |         17 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\Payment.java                            | Java         |         11 |          0 |          3 |         14 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\PhoneUsernameCodeVerifier.java          | Java         |         12 |          0 |          3 |         15 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\PhoneUsernameVerifier.java              | Java         |         11 |          0 |          3 |         14 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\PostSolicit.java                        | Java         |         10 |          0 |          3 |         13 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\ProductAdd.java                         | Java         |         30 |          0 |          4 |         34 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\ProductPost.java                        | Java         |         10 |          0 |          3 |         13 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\Purchase1.java                          | Java         |         14 |          0 |          3 |         17 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\PurchaseShop.java                       | Java         |         13 |          0 |          4 |         17 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\PutStudent.java                         | Java         |         10 |          0 |          3 |         13 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\Register.java                           | Java         |         11 |          0 |          3 |         14 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\SchoolAdd.java                          | Java         |         11 |          0 |          3 |         14 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\Send.java                               | Java         |         11 |          0 |          3 |         14 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\ShoppingPost.java                       | Java         |         13 |          0 |          3 |         16 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\StudentInfo.java                        | Java         |         19 |          0 |         12 |         31 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\model\dto\post\TagAdd.java                             | Java         |         11 |          0 |          3 |         14 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\AccountService.java                            | Java         |          9 |          0 |          3 |         12 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\GetWxAccessCodeTask.java                       | Java         |         42 |          7 |          6 |         55 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\LocationService.java                           | Java         |         11 |          0 |          3 |         14 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\ProductService.java                            | Java         |         30 |          0 |          4 |         34 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\QCloudFileManager.java                         | Java         |         21 |         21 |         13 |         55 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\SchoolService.java                             | Java         |         19 |          0 |          3 |         22 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\SolicitaionService.java                        | Java         |         17 |          0 |          5 |         22 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\StudentService.java                            | Java         |         11 |          0 |          3 |         14 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\VerifyService.java                             | Java         |         38 |          0 |         13 |         51 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\WxPayService.java                              | Java         |         10 |         19 |          7 |         36 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\fail\ActivityFailPrompt.java                   | Java         |         11 |          0 |          4 |         15 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\fail\ServiceFailPrompt.java                    | Java         |         52 |          0 |          6 |         58 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\impl\AccountServiceImpl.java                   | Java         |         88 |          0 |         15 |        103 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\impl\FileManagerImpl.java                      | Java         |        132 |         17 |         15 |        164 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\impl\LocationServiceImpl.java                  | Java         |        105 |          0 |         11 |        116 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\impl\ProductServiceImpl.java                   | Java         |        730 |         14 |         66 |        810 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\impl\SchoolServiceImpl.java                    | Java         |        137 |          0 |         19 |        156 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\impl\SolicitaionServiceImpl.java               | Java         |        246 |          0 |         20 |        266 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\impl\StudentServiceImpl.java                   | Java         |        173 |          0 |         11 |        184 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\impl\VerifyServiceImpl.java                    | Java         |        328 |         51 |         48 |        427 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\service\impl\WxPayServiceImpl.java                     | Java         |        127 |         24 |         35 |        186 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\util\ConstantUtil.java                                 | Java         |        107 |         14 |         16 |        137 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\util\IDUtil.java                                       | Java         |         29 |          1 |          8 |         38 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\util\IpUtils.java                                      | Java         |         21 |          7 |          3 |         31 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\util\PayUtil.java                                      | Java         |         97 |         44 |         13 |        154 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\util\RandomUtil.java                                   | Java         |         12 |          0 |          4 |         16 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\util\RedisUtil.java                                    | Java         |         50 |          3 |         16 |         69 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\util\TokenUtil.java                                    | Java         |         69 |          7 |         23 |         99 |
| d:\seu\schoolUniform\src\main\java\com\school\uniform\util\WeChatUtil.java                                   | Java         |         96 |         66 |          8 |        170 |
| d:\seu\schoolUniform\src\main\resources\application.properties                                               | Properties   |         16 |         10 |          5 |         31 |
| d:\seu\schoolUniform\src\main\resources\mapper\AccountMapper.xml                                             | XML          |         80 |          0 |          0 |         80 |
| d:\seu\schoolUniform\src\main\resources\mapper\AdminMapper.xml                                               | XML          |         21 |          0 |          0 |         21 |
| d:\seu\schoolUniform\src\main\resources\mapper\FileMapper.xml                                                | XML          |         30 |          0 |          0 |         30 |
| d:\seu\schoolUniform\src\main\resources\mapper\LocationMapper.xml                                            | XML          |         34 |          0 |          0 |         34 |
| d:\seu\schoolUniform\src\main\resources\mapper\PriceMapper.xml                                               | XML          |         40 |          0 |          0 |         40 |
| d:\seu\schoolUniform\src\main\resources\mapper\ProductMapper.xml                                             | XML          |         46 |          0 |          0 |         46 |
| d:\seu\schoolUniform\src\main\resources\mapper\PurchaseMapMapper.xml                                         | XML          |         21 |          0 |          0 |         21 |
| d:\seu\schoolUniform\src\main\resources\mapper\PurchaseMapper.xml                                            | XML          |         94 |          0 |          0 |         94 |
| d:\seu\schoolUniform\src\main\resources\mapper\SchoolMapper.xml                                              | XML          |         34 |          0 |          0 |         34 |
| d:\seu\schoolUniform\src\main\resources\mapper\ShoppingMapper.xml                                            | XML          |         42 |          0 |          0 |         42 |
| d:\seu\schoolUniform\src\main\resources\mapper\SolicitationMapper.xml                                        | XML          |         36 |          0 |          0 |         36 |
| d:\seu\schoolUniform\src\main\resources\mapper\SolicitemapMapper.xml                                         | XML          |         34 |          0 |          0 |         34 |
| d:\seu\schoolUniform\src\main\resources\mapper\StudentMapper.xml                                             | XML          |         60 |          0 |          0 |         60 |
| d:\seu\schoolUniform\src\main\resources\mapper\TagMapper.xml                                                 | XML          |         36 |          0 |          0 |         36 |
| d:\seu\schoolUniform\src\main\resources\mybatis-generator-config.xml                                         | XML          |         40 |          6 |         10 |         56 |
| d:\seu\schoolUniform\src\main\resources\qcloud\fail-cos.properties                                           | Properties   |         14 |          0 |          1 |         15 |
| d:\seu\schoolUniform\src\main\resources\qcloud\qcloud-cos.properties                                         | Properties   |          6 |          2 |          0 |          8 |
| d:\seu\schoolUniform\src\main\resources\qcloud\qcloud-sms.properties                                         | Properties   |          5 |          0 |          1 |          6 |
| d:\seu\schoolUniform\src\main\resources\security\verify-code-guard.properties                                | Properties   |          8 |          0 |          1 |          9 |
| d:\seu\schoolUniform\src\test\java\com\school\uniform\UniformApplicationTests.java                           | Java         |          9 |          0 |          5 |         14 |
| d:\seu\schoolUniform\start-test.sh                                                                           | Shell Script |         10 |          5 |          1 |         16 |
| Total                                                                                                        |              |      7,503 |      1,480 |      1,418 |     10,401 |
+--------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
